species_lump,southern_extent_lat,southern_extent_m,southern_extent_id,southern_extent_name,northern_extent_lat,northern_extent_m,northern_extent_id,northern_extent_name
Abietinaria/Amphisbetia spp,35.60414124,709152.7584851417,8,Morro Bay,58.27082062,NA,18,Pacific North West
Acanthinucella paucilirata,30.47035027,NA,1,Baja,34.4671402,502955.76480036514,6,Southern Point Conception
Acanthinucella spp,32.66947174,65017.86042468636,2,Chula Vista,41.65248871,1743318.9631815683,17,Crescent City
Acmaea mitra,35.22690964,639669.354104463,7,Northern Point Conception,43.30894089,NA,18,Pacific North West
Acrosiphonia/Cladophora spp,32.66947174,65017.86042468636,2,Chula Vista,58.27082062,NA,18,Pacific North West
Acrosorium spp,32.6658287,64727.08438007497,2,Chula Vista,34.4671402,502955.76480036514,6,Southern Point Conception
Aeolidia papillosa,37.04425049,969009.4558745892,10,Monterey Bay,37.90354156,1103294.55686926,12,Point Reyes
Agathistoma eiseni,27.17717934,NA,1,Baja,34.06612015,354694.421238929,5,Point Mugu
Aglaophenia spp,34.38703156,426029.3191556229,6,Southern Point Conception,45.02574539,NA,18,Pacific North West
Ahnfeltia fastigiata,32.66947174,65017.86042468636,2,Chula Vista,47.8660202,NA,18,Pacific North West
Ahnfeltiopsis linearis,34.40692902,463667.6383025196,6,Southern Point Conception,45.02574539,NA,18,Pacific North West
Alaria marginata,35.66492844,726161.9626820714,8,Morro Bay,58.27082062,NA,18,Pacific North West
Alia spp,26.70548058,NA,1,Baja,48.7120018,NA,18,Pacific North West
Amphiroa beauvoisii,32.6658287,64727.08438007497,2,Chula Vista,33.57078171,188034.58720485575,3,North County/San Diego
Amphissa columbiana,34.4433403,519962.65872579016,6,Southern Point Conception,58.27082062,NA,18,Pacific North West
Amphissa versicolor,30.47035027,NA,1,Baja,48.15049362,NA,18,Pacific North West
Analipus japonicus,34.44257355,519699.2735324028,6,Southern Point Conception,47.8660202,NA,18,Pacific North West
Anisocladella pacifica,33.51335144,178246.8371272693,3,North County/San Diego,35.44739151,683167.5320824728,8,Morro Bay
Anthopleura artemisia,37.18360901,992483.2940142446,11,San Francisco,47.30255127,NA,18,Pacific North West
Anthopleura elegantissima,26.70548058,NA,1,Baja,48.7120018,NA,18,Pacific North West
Anthopleura sola,26.70548058,NA,1,Baja,38.73049927,1309221.6029099629,13,Bodega Bay
Anthopleura xanthogrammica,33.4598999,171641.645128505,3,North County/San Diego,58.27082062,NA,18,Pacific North West
Antithamnionella spp,45.91809082,NA,18,Pacific North West,58.27082062,NA,18,Pacific North West
Aplidium spp,32.83285141,83542.890370903,3,North County/San Diego,58.27082062,NA,18,Pacific North West
Aplysia californica,33.4598999,171641.645128505,3,North County/San Diego,34.40692902,463667.6383025196,6,Southern Point Conception
Asparagopsis taxiformis,32.83285141,83542.890370903,3,North County/San Diego,33.54259109,182533.87258128088,3,North County/San Diego
Balanus crenatus,38.74050903,1311548.2742590252,13,Bodega Bay,48.7120018,NA,18,Pacific North West
Balanus glandula,29.94898033,NA,1,Baja,58.27082062,NA,18,Pacific North West
Balanus nubilus,35.60414124,709152.7584851417,8,Morro Bay,58.27082062,NA,18,Pacific North West
Bangia spp,32.66947174,65017.86042468636,2,Chula Vista,48.15049362,NA,18,Pacific North West
Besa leptophylla,32.6658287,64727.08438007497,2,Chula Vista,44.24456024,NA,18,Pacific North West
Boring clam,32.871650700000004,89709.11948585366,3,North County/San Diego,39.60411835,1422311.6362766195,14,Fort Bragg
Bossiella spp,27.72610092,NA,1,Baja,58.27082062,NA,18,Pacific North West
Bryopsis spp,26.70548058,NA,1,Baja,48.24200058,NA,18,Pacific North West
Bugula neritina,32.871650700000004,89709.11948585366,3,North County/San Diego,34.44257355,519699.2735324028,6,Southern Point Conception
Caesia perpinguis,48.7120018,NA,18,Pacific North West,48.7120018,NA,18,Pacific North West
Californiconus californicus,30.47035027,NA,1,Baja,37.90354156,1103294.55686926,12,Point Reyes
Callianax biplicata,33.56576157,187404.94912912408,3,North County/San Diego,45.91809082,NA,18,Pacific North West
Calliarthron spp,32.6658287,64727.08438007497,2,Chula Vista,48.24200058,NA,18,Pacific North West
Calliostoma annulatum,35.22690964,639669.354104463,7,Northern Point Conception,36.51366043,847389.6047818728,9,Big Sur
Calliostoma canaliculatum,34.73038101,562974.1740239852,7,Northern Point Conception,36.94841003,949398.302946158,10,Monterey Bay
Calliostoma ligatum,34.44903564,520859.2598906363,6,Southern Point Conception,48.24200058,NA,18,Pacific North West
Calliostoma supragranosum,35.72882843,734167.3024674588,8,Morro Bay,35.72882843,734167.3024674588,8,Morro Bay
Callithamnion pikeanum,33.57078171,188034.58720485575,3,North County/San Diego,58.27082062,NA,18,Pacific North West
Callithamnion rupicola,32.66947174,65017.86042468636,2,Chula Vista,35.60414124,709152.7584851417,8,Morro Bay
Callophyllis spp,32.6658287,64727.08438007497,2,Chula Vista,44.83863831,NA,18,Pacific North West
Cancer productus,38.93787003,1341647.330779703,14,Fort Bragg,48.24200058,NA,18,Pacific North West
Caulacanthus okamurae,32.6658287,64727.08438007497,2,Chula Vista,48.7120018,NA,18,Pacific North West
Ceramothamnion coulteri,29.94898033,NA,1,Baja,44.49993896,NA,18,Pacific North West
Ceratostoma foliatum,33.57078171,188034.58720485575,3,North County/San Diego,47.94709015,NA,18,Pacific North West
Ceratostoma nuttalli,27.17717934,NA,1,Baja,44.83863831,NA,18,Pacific North West
Cerithiopsis spp,27.17717934,NA,1,Baja,47.8660202,NA,18,Pacific North West
Chaetomorpha spp,32.6658287,64727.08438007497,2,Chula Vista,47.8660202,NA,18,Pacific North West
Chondracanthus canaliculatus,27.17717934,NA,1,Baja,47.94709015,NA,18,Pacific North West
Chondracanthus corymbiferus/exaspertata,34.01200867,332521.8395579285,4,LA/Orange County,39.48259354,1407907.7988768823,14,Fort Bragg
Chondracanthus harveyanus,36.28060913,818155.9331844769,9,Big Sur,36.6222496,869350.3214858919,9,Big Sur
Chondracanthus spinosus,27.17717934,NA,1,Baja,40.02254105,1478942.9898792228,15,Humbolt
Chondria acrorhizophora,32.6658287,64727.08438007497,2,Chula Vista,33.71974182,259367.443521334,4,LA/Orange County
Chondria arcuata,32.66947174,65017.86042468636,2,Chula Vista,34.38703156,426029.3191556229,6,Southern Point Conception
Chondria dasyphylla,32.66947174,65017.86042468636,2,Chula Vista,34.4946022,527020.0496358699,7,Northern Point Conception
Chondria decipiens,32.871650700000004,89709.11948585366,3,North County/San Diego,35.28966141,647829.6241901444,8,Morro Bay
Chondria nidifica,32.6658287,64727.08438007497,2,Chula Vista,35.44739151,683167.5320824728,8,Morro Bay
Chondria oppositiclada,32.6658287,64727.08438007497,2,Chula Vista,33.54259109,182533.87258128088,3,North County/San Diego
Chone minuta,35.1688118,619187.9300686991,7,Northern Point Conception,47.65269852,NA,18,Pacific North West
Chthamalus dalli/fissus,29.94898033,NA,1,Baja,58.27082062,NA,18,Pacific North West
Cirolana spp/Gnorimosphaeroma oregonense,34.4671402,502955.76480036514,6,Southern Point Conception,47.94709015,NA,18,Pacific North West
Cladophora columbiana,27.17717934,NA,1,Baja,48.24200058,NA,18,Pacific North West
Cladophora graminea,32.6658287,64727.08438007497,2,Chula Vista,36.6222496,869350.3214858919,9,Big Sur
Clathria pennata,26.70548058,NA,1,Baja,58.27082062,NA,18,Pacific North West
Clavelina huntsmani,35.44739151,683167.5320824728,8,Morro Bay,48.24200058,NA,18,Pacific North West
Codium fragile,27.17717934,NA,1,Baja,48.15049362,NA,18,Pacific North West
Codium setchellii,35.52244186,697796.3026782405,8,Morro Bay,44.83863831,NA,18,Pacific North West
Collinsiella tuberculata,35.28966141,647829.6241901444,8,Morro Bay,44.24456024,NA,18,Pacific North West
Colonial diatom,32.6658287,64727.08438007497,2,Chula Vista,58.27082062,NA,18,Pacific North West
Colpomenia/Leathesia spp,27.17717934,NA,1,Baja,48.7120018,NA,18,Pacific North West
Constantinea simplex,35.28966141,647829.6241901444,8,Morro Bay,48.24200058,NA,18,Pacific North West
Corallina spp,26.70548058,NA,1,Baja,58.27082062,NA,18,Pacific North West
Coryphella trilineata,35.22690964,639669.354104463,7,Northern Point Conception,41.05715561,1672842.8280666035,16,Eureka
Costaria costata,38.58584976,1288008.8771213463,13,Bodega Bay,47.8660202,NA,18,Pacific North West
Crangon spp,32.6658287,64727.08438007497,2,Chula Vista,48.24200058,NA,18,Pacific North West
Crepipatella lingulata,32.6658287,64727.08438007497,2,Chula Vista,38.93787003,1341647.330779703,14,Fort Bragg
Cryptochiton stelleri,34.4671402,502955.76480036514,6,Southern Point Conception,48.15049362,NA,18,Pacific North West
Cryptolithodes sitchensis,36.56087112,856961.6958189968,9,Big Sur,36.56087112,856961.6958189968,9,Big Sur
Cryptopleura/Hymenena spp,26.70548058,NA,1,Baja,48.24200058,NA,18,Pacific North West
Cryptosiphonia woodii,34.4671402,502955.76480036514,6,Southern Point Conception,48.24200058,NA,18,Pacific North West
Cucumaria miniata,47.94709015,NA,18,Pacific North West,47.94709015,NA,18,Pacific North West
Cucumaria/Pseudocnus spp,35.72882843,734167.3024674588,8,Morro Bay,58.27082062,NA,18,Pacific North West
Cumagloia andersonii,27.17717934,NA,1,Baja,47.8660202,NA,18,Pacific North West
Cumathamnion decipiens,39.56906509,1418152.2045913565,14,Fort Bragg,45.47179031,NA,18,Pacific North West
Cyanoplax hartwegii,27.17717934,NA,1,Baja,58.27082062,NA,18,Pacific North West
Cyanoplax spp,27.17717934,NA,1,Baja,58.27082062,NA,18,Pacific North West
Dasya binghamiae,32.66947174,65017.86042468636,2,Chula Vista,35.28966141,647829.6241901444,8,Morro Bay
Dasysiphonia japonica,32.6658287,64727.08438007497,2,Chula Vista,32.6658287,64727.08438007497,2,Chula Vista
Dendronotus subramosus,37.18360901,992483.2940142446,11,San Francisco,41.68999863,1747932.0452899982,17,Crescent City
Derbesia marina,34.4946022,527020.0496358699,7,Northern Point Conception,44.83863831,NA,18,Pacific North West
Dermasterias imbricata,35.72882843,734167.3024674588,8,Morro Bay,48.7120018,NA,18,Pacific North West
Desmarestia ligulata,34.4433403,519962.65872579016,6,Southern Point Conception,48.24200058,NA,18,Pacific North West
Diaulula sandiegensis,31.72407913,NA,1,Baja,44.83863831,NA,18,Pacific North West
Dictyoneurum californicum,37.18360901,992483.2940142446,11,San Francisco,39.48259354,1407907.7988768823,14,Fort Bragg
Dictyopteris undulata,32.6658287,64727.08438007497,2,Chula Vista,33.76805115,271341.3984588508,4,LA/Orange County
Dictyota binghamiae,34.01200867,332521.8395579285,4,LA/Orange County,34.01200867,332521.8395579285,4,LA/Orange County
Dictyota coriacea,30.47035027,NA,1,Baja,34.47343826,490813.3033022511,6,Southern Point Conception
Dilsea californica,34.44903564,520859.2598906363,6,Southern Point Conception,48.24200058,NA,18,Pacific North West
Diodora aspera,34.4671402,502955.76480036514,6,Southern Point Conception,48.24200058,NA,18,Pacific North West
Dirona albolineata,37.90354156,1103294.55686926,12,Point Reyes,44.75271606,NA,18,Pacific North West
Discurria insessa,33.4598999,171641.645128505,3,North County/San Diego,41.05527496,1671975.9084461385,16,Eureka
Distaplia occidentalis,35.44739151,683167.5320824728,8,Morro Bay,39.48259354,1407907.7988768823,14,Fort Bragg
Dodecaceria spp,26.70548058,NA,1,Baja,44.24456024,NA,18,Pacific North West
Doris montereyensis,37.5216713,1036909.4568014592,11,San Francisco,58.27082062,NA,18,Pacific North West
Ectocarpus spp,33.4598999,171641.645128505,3,North County/San Diego,34.01200867,332521.8395579285,4,LA/Orange County
Egregia menziesii,29.94898033,NA,1,Baja,48.24200058,NA,18,Pacific North West
Eisenia arborea,27.17717934,NA,1,Baja,41.05715561,1672842.8280666035,16,Eureka
Encephalophycus tuberculatus,27.17717934,NA,1,Baja,32.6658287,64727.08438007497,2,Chula Vista
Encrusting coralline,26.70548058,NA,1,Baja,58.27082062,NA,18,Pacific North West
Endarachne/Petalonia/Phaeostrophion spp,31.72407913,NA,1,Baja,47.8660202,NA,18,Pacific North West
Endocladia muricata,33.54476929,183485.06139240085,3,North County/San Diego,58.27082062,NA,18,Pacific North West
Endoplura aurea,33.71538925,258413.65766773355,4,LA/Orange County,33.71538925,258413.65766773355,4,LA/Orange County
Epiactis prolifera,30.47035027,NA,1,Baja,58.27082062,NA,18,Pacific North West
