"species_lump","percent_change_dangermond","range_edge","north_trend_positive"
"Acmaea mitra",-72.5556583519903,"southern edge",NA
"Acrosorium spp",3647.08392048502,"northern edge",NA
"Ahnfeltiopsis linearis",-95.294338572544,"southern edge",NA
"Amphissa columbiana",-37.1132427655965,"southern edge",NA
"Analipus japonicus",-61.8178559717044,"southern edge",NA
"Aplysia californica",-17.6504450048496,"northern edge",TRUE
"Bugula neritina",111.79259825994,"northern edge",NA
"Calliostoma canaliculatum",589.90628918605,"southern edge",TRUE
"Calliostoma ligatum",-79.2937734302153,"southern edge",NA
"Chondria arcuata",110.338388661097,"northern edge",NA
"Chondria dasyphylla",127.366880531355,"northern edge",NA
"Chone minuta",-12.4022277603258,"southern edge",NA
"Cirolana spp Gnorimosphaeroma oregonense",48.2930209872015,"southern edge",NA
"Cryptochiton stelleri",-62.5207882623059,"southern edge",NA
"Cryptosiphonia woodii",-43.3285254871003,"southern edge",NA
"Derbesia marina",-97.7161239534051,"southern edge",NA
"Desmarestia ligulata",-73.7648194502325,"southern edge",NA
"Dictyota coriacea",541.844203481466,"northern edge",NA
"Dilsea californica",-76.1537675609766,"southern edge",NA
"Diodora aspera",5.35820654133033,"southern edge",TRUE
"Fucus spp",-81.2984313329131,"southern edge",NA
"Gastroclonium parvum",667.205751680982,"northern edge",NA
"Halichondria spp",-62.4292437244438,"southern edge",NA
"Halosaccion glandiforme",-79.3969191555355,"southern edge",NA
"Halymenia Schizymenia spp",-5.13440143683609,"southern edge",NA
"Haminoea vesicula",103.367214344452,"northern edge",TRUE
"Haplogloia andersonii",-59.7829551008328,"southern edge",NA
"Henricia spp",-65.6834876920797,"southern edge",TRUE
"Jania rosea",1823.69747231309,"northern edge",NA
"Laminaria setchellii",-67.7690639067959,"southern edge",NA
"Laminaria sinclairii",-70.7043509492806,"southern edge",NA
"Laurencia spp",316.804774762388,"northern edge",NA
"Lottia asmi",-88.683580751215,"southern edge",NA
"Macron lividus",1632.58151444283,"northern edge",TRUE
"Nemalion elminthoides",280.067955221718,"northern edge",NA
"Neoptilota Ptilota spp",82.37986045246,"southern edge",NA
"Neorhodomela larix",-88.4343699865835,"southern edge",NA
"Neorhodomela oregona",-33.3331756796677,"southern edge",NA
"Norrisia norrisii",57.6638675272856,"northern edge",TRUE
"Onchidella carpenteri",-72.6479840515454,"southern edge",TRUE
"Paraxanthias taylori",-100,"northern edge",TRUE
"Pelvetiopsis arborescens limitata",2782.01947426486,"southern edge",NA
"Pseudochama exogyra",152.315469208443,"northern edge",NA
"Roperia poulsoni",198.233694804665,"northern edge",TRUE
"Sargassum agardhianum",1784.78619617116,"northern edge",NA
"Semibalanus cariosus",-33.563138989537,"southern edge",NA
"Spirobranchus spinosus",73.1518795782943,"southern edge",NA
"Styela montereyensis",12.1490567932466,"southern edge",NA
"Taonia lennebackerae",54.5080055875101,"northern edge",NA
"Tegula aureotincta",125.365623663331,"northern edge",TRUE
"Tegula brunnea",-67.4853870927632,"southern edge",TRUE
"Ulothrix spp",-39.1173493929574,"southern edge",NA
"Zonaria farlowii",568.231362140201,"northern edge",NA
"Acanthinucella paucilirata",NA,"northern edge",NA
"Opalia wroblewskyi",NA,"northern edge",NA
"Pseudomelatoma penicillata",NA,"northern edge",NA
"Aglaophenia spp",NA,"southern edge",NA
"Calliostoma annulatum",NA,"southern edge",TRUE
"Coryphella trilineata",NA,"southern edge",NA
"Opalia wroblewskyi",NA,"southern edge",NA
"Agathistoma eiseni",NA,NA,TRUE
