species_lump,common_name,image,image_url,
Abietinaria/Amphisbetia spp,Coarse Sea Fir Hydroids,,https://inaturalist-open-data.s3.amazonaws.com/photos/355875024/medium.jpg,Credited
Acanthinucella paucilirata,Checkered Unicorn,,https://inaturalist-open-data.s3.amazonaws.com/photos/257372473/large.jpeg,Credited
Acanthinucella spp,Rock Snails,,https://inaturalist-open-data.s3.amazonaws.com/photos/135755514/large.jpg,Inaturalist
Acmaea mitra,Whitecap Limpet,,https://inaturalist-open-data.s3.amazonaws.com/photos/61467804/medium.jpeg,Inaturalist
Acrosiphonia/Cladophora spp,Filamentous Green Algae,,https://inaturalist-open-data.s3.amazonaws.com/photos/126218890/medium.jpeg,Inaturalist
Acrosorium spp,Red Algae,,https://inaturalist-open-data.s3.amazonaws.com/photos/447317947/large.jpeg,Inaturalist
Aeolidia papillosa,Shag-rug Nudibranch,,https://inaturalist-open-data.s3.amazonaws.com/photos/451171155/large.jpeg,Inaturalist
Agathistoma eiseni,Western Banded Tegula,,https://inaturalist-open-data.s3.amazonaws.com/photos/470768905/medium.jpg,Credited
Aglaophenia spp,Ostrich-Plume Hydroids,,https://inaturalist-open-data.s3.amazonaws.com/photos/11235571/medium.jpg,Inaturalist
Ahnfeltia fastigiata,Forked Tangled Red Alga,,https://inaturalist-open-data.s3.amazonaws.com/photos/505444849/medium.jpg,Credited
Ahnfeltiopsis linearis,Flattened Ahnfelts Seaweed,,https://inaturalist-open-data.s3.amazonaws.com/photos/128329537/medium.jpeg,Inaturalist
Alaria marginata,Winged Kelp,,https://inaturalist-open-data.s3.amazonaws.com/photos/104440236/medium.jpg,Inaturalist
Alia spp,Dove Snails,,,
Amphiroa beauvoisii,Rosy Calcareous Algae,,https://inaturalist-open-data.s3.amazonaws.com/photos/267795679/medium.jpeg,Credited
Amphissa columbiana,Wrinkled Amphissa,,https://inaturalist-open-data.s3.amazonaws.com/photos/61466936/medium.jpeg,Inaturalist
Amphissa versicolor,Variegate Amphissa,,,
Analipus japonicus,Bottlebrush Seaweed ,,https://inaturalist-open-data.s3.amazonaws.com/photos/168014270/medium.jpeg,Inaturalist
Anisocladella pacifica,Red Algae,,https://static.inaturalist.org/sites/1-logo_square.png?1573071870,NO
Anthopleura artemisia,Moonglow Anemone,,https://inaturalist-open-data.s3.amazonaws.com/photos/63839390/medium.jpeg,Inaturalist
Anthopleura elegantissima,Aggregating Anemone,,,
Anthopleura sola,Sunburst Anemone,,https://inaturalist-open-data.s3.amazonaws.com/photos/451513700/large.jpeg,Inaturalist
Anthopleura xanthogrammica,Giant Green Anemone,,https://inaturalist-open-data.s3.amazonaws.com/photos/171156949/medium.jpg,Inaturalist
Antithamnionella spp,Red Algae,,,
Aplidium spp,Sea Pork,,https://inaturalist-open-data.s3.amazonaws.com/photos/207883186/medium.jpg,Inaturalist
Aplysia californica,California Seahare,,https://inaturalist-open-data.s3.amazonaws.com/photos/408878514/large.jpeg,Inaturalist
Asparagopsis taxiformis,Red Sea Plume,,https://inaturalist-open-data.s3.amazonaws.com/photos/255967011/large.jpg,Inaturalist
Balanus crenatus,Wrinkled Barnacle,,https://inaturalist-open-data.s3.amazonaws.com/photos/63262275/medium.jpeg,Inaturalist
Balanus glandula,Pacific Acorn Barnacle,,,
Balanus nubilus,Giant Acorn Barnacle,,https://inaturalist-open-data.s3.amazonaws.com/photos/58658663/medium.jpeg,Inaturalist
Bangia spp,Red Algae,,https://static.inaturalist.org/sites/1-logo_square.png?1573071870,NO
Besa leptophylla,Filamentous Red Algae,,https://inaturalist-open-data.s3.amazonaws.com/photos/43482697/medium.jpg,Credited
Boring clam,Boring Clam,,https://inaturalist-open-data.s3.amazonaws.com/photos/426816057/large.jpeg,Inaturalist
Bossiella spp,Coralline Algae,,,
Bryopsis spp,Hair Algae,,,
Bugula neritina,Brown Bryozoan,,https://inaturalist-open-data.s3.amazonaws.com/photos/477437045/large.jpg,Inaturalist
Caesia perpinguis,Fat Nassa,,,
Californiconus californicus,California Cone,,https://inaturalist-open-data.s3.amazonaws.com/photos/469448780/large.jpg,Inaturalist
Callianax biplicata,Purple Olive Snail,,https://inaturalist-open-data.s3.amazonaws.com/photos/130143749/medium.jpeg,Inaturalist
Calliarthron spp,Coralline Red Algae,,https://inaturalist-open-data.s3.amazonaws.com/photos/153162108/medium.jpeg,Inaturalist
Calliostoma annulatum,Jeweled Top Snail,,https://inaturalist-open-data.s3.amazonaws.com/photos/102350234/large.jpeg,Inaturalist
