marine_site_name,latitude,longitude
Abalobadiah Creek,39.56906509,-123.77182
Abalone Cove,33.73778152,-118.37612
Alder Creek; Duxbury,37.89757919,-122.71071
Alegria,34.4671402,-120.27738
Alegria Silvetia,34.46718979,-120.27854
Andrew Molera,36.28060913,-121.86317
Ano Nuevo,37.10778046,-122.29444
Arroyo Hondo,34.47343826,-120.1454
Asilomar,36.6222496,-121.94161
Boat House,34.55387878,-120.61167
Bodega,38.31819916,-123.07365
Bodega Head,38.3103981,-123.0824
Bolinas Point,37.90354156,-122.72721
Bolinas Point Wreck,37.90261841,-122.7242
Buck Gully South,33.58824158,-117.86736
Cabrillo I,32.66947174,-117.2455
Cabrillo III,32.6658287,-117.24417
Cape Mendocino,40.3409996,-124.36317
Cardiff Reef,32.99983978,-117.27867
Carpinteria,34.38703156,-119.51407
Cayucos,35.44739151,-120.94982
Cayucos Silvetia,35.44949341,-120.9519
Chimney Rock,37.99383163,-122.96729
China Rocks,36.60615921,-121.95939
Coal Oil Point,34.40692902,-119.87804
Crystal Cove,33.57078171,-117.83773
Damnation Creek,41.65248871,-124.12784
Dana Point,33.4598999,-117.71475
Davenport Landing,37.02207947,-122.21538
Deer Creek,34.06069183,-118.98221
Del Mar Landing,38.74050903,-123.51086
Diablo,35.22690964,-120.87428
Duck Pond,35.85916901,-121.42233
Ellwood,34.43518829,-119.93078
Enderts,41.68999863,-124.14257
False Klamath Cove,41.59476089,-124.10643
Fitzgerald Marine Reserve,37.5216713,-122.51667
Fort Bragg,39.43920135,-123.81841
Garrapata,36.46903992,-121.93444
Gerstle Cove,38.56613922,-123.32919
Government Point,34.4433403,-120.45655
Hazards,35.28966141,-120.88325
Heisler Park,33.54259109,-117.78928
Hopkins,36.62120056,-121.9073
Horseshoe Cove,38.31644058,-123.0721
Kibesillah Hill,39.60411835,-123.78887
La Jolla Caves,32.8432312,-117.2812
Launcher Beach,41.05715561,-124.14532
Lechuza Point,34.03445816,-118.86179
Lompoc Landing,34.71879959,-120.6088
Lucia,36.01438141,-121.5405
Lunada Bay,33.76805115,-118.42276
MacKerricher,39.48259354,-123.80359
Mal Coombs,40.021698,-124.06825
Mill Creek,35.97964859,-121.49034
Moat Creek,38.88090897,-123.67475
Muddy Canyon,33.56576157,-117.83314
Mussel Shoals,34.35548019,-119.44073
Natural Bridges,36.94915009,-122.06107
Navy North,32.69260025,-117.25327
North Jenner Beach,38.45618057,-123.14244
Old Home Beach,41.05527496,-124.13683
Old Stairs,34.06612015,-118.99779
Owl Bluff,34.44257355,-120.45351
Palmers Point,41.13121033,-124.1633
Paradise Cove,34.01200867,-118.79225
Partington Cove,36.17375946,-121.69653
Phillips Gulch,38.58584976,-123.34147
Piedras Blancas,35.66492844,-121.28699
Pigeon Point,37.18360901,-122.39529
Point Arena,38.95550156,-123.7413
Point Conception,34.44903564,-120.46446
Point Dume,34.00035858,-118.80703
Point Fermin,33.70679092,-118.28599
Point Lobos,36.51366043,-121.94688
Point Pinos,36.63795853,-121.93758
Point Saint George,41.78464508,-124.25513
Point Sierra Nevada,35.72882843,-121.31866
Point Vicente,33.74100876,-118.40947
Pyramid Point,41.98984146,-124.2093
Rancho Marino; Cambria,35.52244186,-121.073
Royal Palms,33.71974182,-118.32857
San Simeon Point,35.63454819,-121.19562
Sandhill Bluff,36.9801712,-122.15503
Santa Maria Creek,38.01242828,-122.84915
Saunders Reef,38.86138153,-123.65361
Scott Creek,37.04425049,-122.23493
Scripps Reef,32.8716507,-117.25328
Sea Ranch,38.73049927,-123.48864
Sea Ridge,32.80799103,-117.26793
Sequit Point,34.04322815,-118.937
Shaws Cove,33.54476929,-117.79941
Shell Beach,35.1688118,-120.69668
Shell Beach Silvetia,35.1684761,-120.69619
Shelter Cove,40.02254105,-124.07366
Stairs,34.73038101,-120.61546
Stewarts Point,38.61363983,-123.36753
Stillwater,36.56087112,-121.94053
Stornetta,38.93787003,-123.7288
Sunset Cliffs,32.71913147,-117.25683
Tarantulas,34.4946022,-120.4956
Terrace Point,36.94841003,-122.06457
Treasure Island,33.51335144,-117.75793
Vista del Mar,35.60414124,-121.14232
White Point,33.71538925,-118.31961
Wilder Ranch,36.94915009,-122.10383
Wind and Sea,32.83285141,-117.28231
Windermere Point,38.52394104,-123.26747
